2025-11-07 03:55:49.856343 0 {'augment_factor': 1, 'chunk_seconds': 0.5139453537831001, 'num_freqs': 4, 'num_estimators': 91, 'learning_rate': 0.0657533385669132, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 1, 'subsample': 0.7225845031774533, 'window_seconds': 2} 0.3998683139474322
2025-11-07 04:02:33.458835 1 {'augment_factor': 8, 'chunk_seconds': 1.3764462887961235, 'num_freqs': 11, 'num_estimators': 451, 'learning_rate': 0.049995652505971384, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 7, 'subsample': 0.8623085376240058, 'window_seconds': 2} 0.40760898862420675
2025-11-07 04:12:28.748041 2 {'augment_factor': 8, 'chunk_seconds': 0.997670529903258, 'num_freqs': 16, 'num_estimators': 277, 'learning_rate': 0.012113192362305568, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 4, 'subsample': 0.7013699340130459, 'window_seconds': 4} 0.4152676525272659
2025-11-07 04:24:02.150859 3 {'augment_factor': 1, 'chunk_seconds': 1.9589461232209793, 'num_freqs': 6, 'num_estimators': 348, 'learning_rate': 0.010018743125354095, 'max_depth': 8, 'min_samples_split': 7, 'min_samples_leaf': 9, 'subsample': 0.7473170191182366, 'window_seconds': 4} 0.4065881423629391
2025-11-07 04:33:56.332293 4 {'augment_factor': 8, 'chunk_seconds': 1.2581328642413183, 'num_freqs': 5, 'num_estimators': 416, 'learning_rate': 0.07069144812114161, 'max_depth': 8, 'min_samples_split': 7, 'min_samples_leaf': 8, 'subsample': 0.9332095678682703, 'window_seconds': 3} 0.39551734287454693
2025-11-07 04:55:06.976058 5 {'augment_factor': 8, 'chunk_seconds': 0.8033757221029083, 'num_freqs': 14, 'num_estimators': 121, 'learning_rate': 0.20086273570271668, 'max_depth': 8, 'min_samples_split': 17, 'min_samples_leaf': 3, 'subsample': 0.9196667897947983, 'window_seconds': 5} 0.38829157715757034
2025-11-07 05:10:24.493424 6 {'augment_factor': 2, 'chunk_seconds': 0.5746051562315991, 'num_freqs': 16, 'num_estimators': 224, 'learning_rate': 0.01932937240951459, 'max_depth': 8, 'min_samples_split': 15, 'min_samples_leaf': 4, 'subsample': 0.9961931502460755, 'window_seconds': 3} 0.4095441462850382
2025-11-07 05:51:26.165475 7 {'augment_factor': 4, 'chunk_seconds': 0.7535160884938555, 'num_freqs': 15, 'num_estimators': 248, 'learning_rate': 0.06756724683023374, 'max_depth': 8, 'min_samples_split': 16, 'min_samples_leaf': 7, 'subsample': 0.9852460963292383, 'window_seconds': 3} 0.4115477322446408
2025-11-07 06:24:10.676161 8 {'augment_factor': 1, 'chunk_seconds': 1.7942462936626549, 'num_freqs': 5, 'num_estimators': 135, 'learning_rate': 0.03486023548486403, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 3, 'subsample': 0.973891221922787, 'window_seconds': 4} 0.3975114019397687
2025-11-07 06:27:47.576774 9 {'augment_factor': 1, 'chunk_seconds': 1.6446829521638509, 'num_freqs': 5, 'num_estimators': 226, 'learning_rate': 0.2275163915284228, 'max_depth': 5, 'min_samples_split': 18, 'min_samples_leaf': 6, 'subsample': 0.98936805274755, 'window_seconds': 3} 0.399846491672071
2025-11-07 10:08:48.832234 0 {'augment_factor': 4, 'chunk_seconds': 1.998200956891532, 'num_freqs': 10, 'num_estimators': 55, 'learning_rate': 0.01113467445405925, 'max_depth': 6, 'min_samples_split': 15, 'min_samples_leaf': 5, 'subsample': 0.8208894110429311, 'window_seconds': 2} 0.3480962292881853
