2025-11-13 23:40:12.449381 0 {'augment_factor': 4, 'chunk_seconds': 10, 'num_freqs': 1, 'num_estimators': 32, 'max_depth': 8, 'window_seconds': 8, 'num_subwindows': 6, 'subwindow_freq': 11, 'use_window_slope': False, 'use_subwindow_slope': True} 0.37500152663425895
2025-11-13 23:49:44.985819 0 {'augment_factor': 1, 'chunk_seconds': 4, 'num_freqs': 2, 'num_estimators': 128, 'max_depth': 4, 'window_seconds': 8, 'num_subwindows': 14, 'subwindow_freq': 13, 'use_window_slope': False, 'use_subwindow_slope': False} 0.39515168426677016
2025-11-13 23:52:09.822962 1 {'augment_factor': 1, 'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 16, 'max_depth': 8, 'window_seconds': 7, 'num_subwindows': 7, 'subwindow_freq': 10, 'use_window_slope': True, 'use_subwindow_slope': False} 0.44881388760117175
2025-11-13 23:55:28.095794 2 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 6, 'num_estimators': 64, 'max_depth': 4, 'window_seconds': 6, 'num_subwindows': 20, 'subwindow_freq': 3, 'use_window_slope': False, 'use_subwindow_slope': False} 0.3843668187528036
2025-11-14 00:05:45.964588 3 {'augment_factor': 8, 'chunk_seconds': 9, 'num_freqs': 2, 'num_estimators': 256, 'max_depth': 128, 'window_seconds': 6, 'num_subwindows': 2, 'subwindow_freq': 11, 'use_window_slope': False, 'use_subwindow_slope': True} 0.39338215135703997
2025-11-14 00:06:43.478573 4 {'augment_factor': 8, 'chunk_seconds': 10, 'num_freqs': 1, 'num_estimators': 32, 'max_depth': 4, 'window_seconds': 6, 'num_subwindows': 18, 'subwindow_freq': 4, 'use_window_slope': False, 'use_subwindow_slope': False} 0.3765921098326516
2025-11-14 00:07:55.918963 5 {'augment_factor': 1, 'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 64, 'max_depth': 32, 'window_seconds': 9, 'num_subwindows': 8, 'subwindow_freq': 15, 'use_window_slope': False, 'use_subwindow_slope': True} 0.43233779104929226
2025-11-14 00:12:41.899269 6 {'augment_factor': 1, 'chunk_seconds': 9, 'num_freqs': 20, 'num_estimators': 64, 'max_depth': 256, 'window_seconds': 8, 'num_subwindows': 9, 'subwindow_freq': 19, 'use_window_slope': True, 'use_subwindow_slope': True} 0.37040183645436286
2025-11-14 01:00:50.355923 0 {'augment_factor': 8, 'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 16, 'max_depth': 8, 'window_seconds': 5, 'num_subwindows': 14, 'subwindow_freq': 3, 'use_window_slope': True, 'use_subwindow_slope': True} 0.41864484422489334
2025-11-14 01:08:21.121874 1 {'augment_factor': 2, 'chunk_seconds': 6, 'num_freqs': 7, 'num_estimators': 32, 'max_depth': 256, 'window_seconds': 2, 'num_subwindows': 5, 'subwindow_freq': 3, 'use_window_slope': False, 'use_subwindow_slope': True} 0.3582039195777071
2025-11-14 01:10:02.963533 2 {'augment_factor': 8, 'chunk_seconds': 4, 'num_freqs': 6, 'num_estimators': 16, 'max_depth': 16, 'window_seconds': 5, 'num_subwindows': 8, 'subwindow_freq': 7, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4041317396171981
2025-11-14 01:13:30.283872 3 {'augment_factor': 1, 'chunk_seconds': 6, 'num_freqs': 6, 'num_estimators': 8, 'max_depth': 64, 'window_seconds': 4, 'num_subwindows': 8, 'subwindow_freq': 12, 'use_window_slope': False, 'use_subwindow_slope': True} 0.36094345924319354
