2025-11-07 01:04:00.384932 0 {'augment_factor': 1, 'chunk_seconds': 8, 'num_freqs': 4, 'num_estimators': 256, 'max_depth': 256, 'window_seconds': 9} 0.3624311045756092
2025-11-07 01:04:42.337899 1 {'augment_factor': 2, 'chunk_seconds': 4, 'num_freqs': 14, 'num_estimators': 16, 'max_depth': 128, 'window_seconds': 6} 0.3920950009805762
2025-11-07 01:05:30.997550 2 {'augment_factor': 4, 'chunk_seconds': 4, 'num_freqs': 6, 'num_estimators': 16, 'max_depth': 32, 'window_seconds': 8} 0.40064990920060706
2025-11-07 01:06:20.393191 3 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 256, 'window_seconds': 10} 0.3925138926200911
2025-11-07 01:07:58.875327 4 {'augment_factor': 4, 'chunk_seconds': 7, 'num_freqs': 6, 'num_estimators': 64, 'max_depth': 8, 'window_seconds': 6} 0.39984027598685296
2025-11-07 01:08:35.193295 5 {'augment_factor': 8, 'chunk_seconds': 7, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 16, 'window_seconds': 3} 0.35767471447726334
2025-11-07 01:09:09.112741 6 {'augment_factor': 4, 'chunk_seconds': 10, 'num_freqs': 6, 'num_estimators': 16, 'max_depth': 8, 'window_seconds': 10} 0.34596321184801343
2025-11-07 01:09:40.171727 7 {'augment_factor': 1, 'chunk_seconds': 10, 'num_freqs': 15, 'num_estimators': 64, 'max_depth': 32, 'window_seconds': 4} 0.3630660773724537
2025-11-07 01:10:11.413211 8 {'augment_factor': 2, 'chunk_seconds': 4, 'num_freqs': 2, 'num_estimators': 64, 'max_depth': 4, 'window_seconds': 2} 0.32330885993730807
2025-11-07 01:10:56.821087 9 {'augment_factor': 4, 'chunk_seconds': 10, 'num_freqs': 16, 'num_estimators': 16, 'max_depth': 16, 'window_seconds': 3} 0.3455381486828975
2025-11-07 01:11:26.383503 10 {'augment_factor': 8, 'chunk_seconds': 2, 'num_freqs': 10, 'num_estimators': 32, 'max_depth': 32, 'window_seconds': 8} 0.41266044476749375
2025-11-07 01:12:49.130196 11 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 11, 'num_estimators': 32, 'max_depth': 32, 'window_seconds': 8} 0.4268309746222765
2025-11-07 01:15:15.371670 12 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 11, 'num_estimators': 32, 'max_depth': 64, 'window_seconds': 7} 0.4226248884239369
