dataset,label,count,proportion
mosquito,NP,2326218,0.3702975346799057
mosquito,M,1852572,0.2949004970372606
mosquito,L,1740493,0.2770592726165962
mosquito,N,255111,0.04060968248449863
mosquito,J,65905,0.01049104556111215
mosquito,K,39804,0.0063361744558760045
mosquito,Z,1921,0.00030579316475072365
sharpshooter,Z,194273872,0.66361189702785
sharpshooter,G,50569038,0.17273663664897476
sharpshooter,D,27003726,0.09224088475304736
sharpshooter,DG,10898331,0.03722714760813242
sharpshooter,P,4066387,0.013890199249847595
sharpshooter,B,2392169,0.008171308842298747
sharpshooter,C,1641568,0.005607362654408894
sharpshooter,CG,1060258,0.0036216904284429668
sharpshooter,F2,515478,0.0017607994834020811
sharpshooter,B2,145576,0.0004972668971241088
sharpshooter,F3,70533,0.00024093068950139287
sharpshooter,F4,45637,0.00015588949678554812
sharpshooter,F1,42018,0.0001435275078540474
sharpshooter,CN,27614,9.43254938807574e-05
sharpshooter,CD,39,1.3321844938616424e-07
