dataset,file,samples,unique_labels,num_probes,probe_len_mean,probe_len_p50,probe_len_p95
mosquito,cxthand1sep2021no1.csv,84762,6,5,11440.6,8421.0,21657.999999999996
mosquito,cxthand1sep2021no7.csv,98686,7,2,40300.5,40300.5,51721.95
mosquito,cxthand30aug2021no11.csv,57892,7,1,48782.0,48782.0,48782.0
mosquito,cxthand30aug2021no12.csv,114745,6,1,109590.0,109590.0,109590.0
mosquito,cxthand30aug2021no2.csv,39867,6,1,33683.0,33683.0,33683.0
mosquito,cxthand8sep2021no1.csv,86945,7,1,53459.0,53459.0,53459.0
mosquito,cxthand8sep2021no4.csv,84238,7,1,67238.0,67238.0,67238.0
mosquito,cxthand8sep2021no8.csv,71261,6,1,64274.0,64274.0,64274.0
mosquito,cxtonhand10nov2021no10.csv,64187,7,1,56025.0,56025.0,56025.0
mosquito,cxtonhand10nov2021no11.csv,171052,6,1,112875.0,112875.0,112875.0
mosquito,cxtonhand10nov2021no5.csv,80919,6,1,61445.0,61445.0,61445.0
mosquito,cxtonhand10nov2021no7.csv,51769,6,2,23071.0,23071.0,32356.3
mosquito,cxtonhand14dec2021no1.csv,72391,6,1,60310.0,60310.0,60310.0
mosquito,cxtonhand14jan2021no1.csv,149973,7,5,26793.2,21835.0,50734.6
mosquito,cxtonhand14jan2021no3.csv,78208,7,1,66259.0,66259.0,66259.0
mosquito,cxtonhand14jan2021no8.csv,37378,7,1,32091.0,32091.0,32091.0
mosquito,cxtonhand18nov2021no4.csv,50996,6,3,14307.0,9821.0,22478.6
mosquito,cxtonhand18nov2021no8.csv,118853,6,1,73815.0,73815.0,73815.0
mosquito,cxtonhand19nov2021no2b.csv,37509,7,1,24912.0,24912.0,24912.0
mosquito,cxtonhand19nov2021no5.csv,59677,7,1,41045.0,41045.0,41045.0
mosquito,cxtonhand19nov2021no7b.csv,83878,7,1,33965.0,33965.0,33965.0
mosquito,cxtonhand21oct2021no4.csv,75963,6,2,25521.5,25521.5,29390.15
mosquito,cxtonhand21oct2021no6b.csv,89294,6,1,34141.0,34141.0,34141.0
mosquito,cxtonhand21sep2021no8.csv,103128,6,1,58554.0,58554.0,58554.0
mosquito,cxtonhand22oct2021no7.csv,147883,6,2,66741.5,66741.5,116940.34999999999
mosquito,cxtonhand22sep2021no4.csv,171742,7,4,33408.25,10827.5,94273.04999999996
mosquito,cxtonhand22sep2021no6.csv,51988,6,1,24845.0,24845.0,24845.0
mosquito,cxtonhand22sep2021no7.csv,64168,7,1,45264.0,45264.0,45264.0
mosquito,cxtonhand22sep2021no8.csv,105466,6,2,42301.0,42301.0,57745.9
mosquito,cxtonhand22sep2021no9.csv,74803,6,1,57254.0,57254.0,57254.0
mosquito,cxtonhand24nov2021no12.csv,100880,7,1,88969.0,88969.0,88969.0
mosquito,cxtonhand24nov2021no9.csv,103042,6,2,26259.0,26259.0,48383.7
mosquito,cxtonhand27oct2021no9.csv,144775,6,1,104120.0,104120.0,104120.0
mosquito,cxtonhand30nov2021no1.csv,92186,6,1,69800.0,69800.0,69800.0
mosquito,cxtonhand30nov2021no6b.csv,45892,6,2,16807.5,16807.5,22605.75
mosquito,cxtonhand6dec2021no2.csv,70590,5,2,17222.5,17222.5,31548.25
mosquito,cxtonhand6dec2021no3.csv,81601,7,2,30922.5,30922.5,38943.75
mosquito,cxtonhand8dec2021no12.csv,58764,6,1,55226.0,55226.0,55226.0
mosquito,cxtonhand8dec2021no1b.csv,80868,6,1,13161.0,13161.0,13161.0
mosquito,cxtonhand8dec2021no2.csv,143601,6,1,51665.0,51665.0,51665.0
mosquito,cxtonhand8dec2021no3.csv,41035,6,1,38431.0,38431.0,38431.0
mosquito,cxtonhand8dec2021no5.csv,70512,6,1,42935.0,42935.0,42935.0
mosquito,cxtonhand8dec2021no7.csv,40507,6,1,36097.0,36097.0,36097.0
mosquito,cxtonhand8dec2021no9.csv,95502,6,2,35600.0,35600.0,40914.5
mosquito,cxtonhandkc22feb2022no2.csv,87112,5,1,32440.0,32440.0,32440.0
mosquito,cxtonhandkc22feb2022no6.csv,75202,6,1,24826.0,24826.0,24826.0
mosquito,cxtonhandkcage16feb2022no5.csv,126814,6,2,50215.0,50215.0,70072.59999999999
mosquito,cxtonhandkccage24feb2022no12b.csv,108874,5,2,36420.5,36420.5,60383.45
mosquito,cxtonhandkccage24feb2022no13.csv,49013,6,1,41336.0,41336.0,41336.0
