2026-03-19 15:13:22.330831 0 {'chunk_seconds': 3, 'num_freqs': 13, 'num_estimators': 32, 'max_depth': 8, 'max_features': 0.7544829738135828, 'overlap': 0.45058362042942546, 'max_lag': 23} 0.591488370719561
2026-03-19 15:57:50.284749 1 {'chunk_seconds': 15, 'num_freqs': 12, 'num_estimators': 32, 'max_depth': 32, 'max_features': 0.39591564922118705, 'overlap': 0.3231100122061917, 'max_lag': 13} 0.706293763005904
2026-03-19 16:08:34.122723 2 {'chunk_seconds': 2, 'num_freqs': 24, 'num_estimators': 256, 'max_depth': 256, 'max_features': 0.2761157832915131, 'overlap': 0.32589999161986793, 'max_lag': 9} 0.663259414986168
2026-03-19 18:58:40.595857 3 {'chunk_seconds': 6, 'num_freqs': 2, 'num_estimators': 32, 'max_depth': 8, 'max_features': 0.8638663308970747, 'overlap': 0.7183596351719594, 'max_lag': 16} 0.6313615098489596
2026-03-19 19:34:13.487582 4 {'chunk_seconds': 12, 'num_freqs': 11, 'num_estimators': 32, 'max_depth': 128, 'max_features': 0.4455414461174301, 'overlap': 0.49759180289523947, 'max_lag': 26} 0.7120598024800527
2026-03-19 19:53:07.278313 5 {'chunk_seconds': 17, 'num_freqs': 19, 'num_estimators': 128, 'max_depth': 256, 'max_features': 0.7228670174515515, 'overlap': 0.701036173686402, 'max_lag': 12} 0.7060313758419178
2026-03-19 20:48:38.474711 6 {'chunk_seconds': 9, 'num_freqs': 2, 'num_estimators': 1024, 'max_depth': 128, 'max_features': 0.45429402297824667, 'overlap': 0.5716440010892627, 'max_lag': 19} 0.7096976047621499
2026-03-20 00:05:36.747277 7 {'chunk_seconds': 19, 'num_freqs': 18, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.6264645122989487, 'overlap': 0.42533807838242466, 'max_lag': 27} 0.7321780825118983
2026-03-20 00:24:26.235015 8 {'chunk_seconds': 24, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.8354124460730887, 'overlap': 0.3776797120940296, 'max_lag': 12} 0.700535310736064
2026-03-20 00:43:15.675165 9 {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 64, 'max_depth': 32, 'max_features': 0.3337034515401478, 'overlap': 0.7462422990905075, 'max_lag': 23} 0.6821333662403959
2026-03-20 02:39:34.501170 10 {'chunk_seconds': 22, 'num_freqs': 18, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.9987823968108112, 'overlap': 0.5974243274665342, 'max_lag': 30} 0.7242300143822019
2026-03-20 03:10:23.207513 11 {'chunk_seconds': 21, 'num_freqs': 18, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.9562036014681325, 'overlap': 0.6122988601346337, 'max_lag': 30} 0.7247765433148302
2026-03-20 03:42:23.188002 12 {'chunk_seconds': 20, 'num_freqs': 18, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.6109659022566494, 'overlap': 0.6287901680483672, 'max_lag': 30} 0.733403410768669
2026-03-20 04:16:56.631396 15 {'chunk_seconds': 12, 'num_freqs': 21, 'num_estimators': 512, 'max_depth': 16, 'max_features': 0.6055260167014277, 'overlap': 0.401211870630411, 'max_lag': 26} 0.7372068861454283
2026-03-20 06:16:34.961860 16 {'chunk_seconds': 12, 'num_freqs': 21, 'num_estimators': 512, 'max_depth': 16, 'max_features': 0.5228803868614488, 'overlap': 0.8379841992001099, 'max_lag': 23} 0.7327235969227016
2026-03-20 15:29:16.276710 21 {'chunk_seconds': 13, 'num_freqs': 21, 'num_estimators': 512, 'max_depth': 16, 'max_features': 0.5501734832743089, 'overlap': 0.8222531133759862, 'max_lag': 24} 0.7369761351355647
2026-03-20 21:11:10.485305 22 {'chunk_seconds': 13, 'num_freqs': 16, 'num_estimators': 512, 'max_depth': 16, 'max_features': 0.5553114236661976, 'overlap': 0.8020967239963699, 'max_lag': 24} 0.7366404409596196
2026-03-21 07:48:07.143778 25 {'chunk_seconds': 7, 'num_freqs': 21, 'num_estimators': 512, 'max_depth': 16, 'max_features': 0.36292066896686737, 'overlap': 0.6961575417064597, 'max_lag': 16} 0.7287412869148902
2026-03-21 11:22:34.250302 26 {'chunk_seconds': 17, 'num_freqs': 10, 'num_estimators': 512, 'max_depth': 16, 'max_features': 0.48425786351072203, 'overlap': 0.7851666772962391, 'max_lag': 24} 0.7378170884045712
2026-03-21 17:50:47.016914 31 {'chunk_seconds': 13, 'num_freqs': 13, 'num_estimators': 512, 'max_depth': 16, 'max_features': 0.5816066703690997, 'overlap': 0.8439378655442039, 'max_lag': 24} 0.737357124850369
2026-03-21 23:29:55.626249 32 {'chunk_seconds': 13, 'num_freqs': 13, 'num_estimators': 512, 'max_depth': 16, 'max_features': 0.4114615421141661, 'overlap': 0.8420181644529372, 'max_lag': 25} 0.7408955005435044
2026-03-22 03:40:52.384919 33 {'chunk_seconds': 11, 'num_freqs': 12, 'num_estimators': 512, 'max_depth': 16, 'max_features': 0.39050305874170776, 'overlap': 0.843851755972434, 'max_lag': 27} 0.7391065961292286
2026-03-22 10:59:35.183923 36 {'chunk_seconds': 16, 'num_freqs': 13, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.40727042952423526, 'overlap': 0.797921936091764, 'max_lag': 14} 0.733772875656643
