2026-03-28 23:51:33.222575 0 {'chunk_seconds': 5, 'num_freqs': 9, 'num_estimators': 32, 'max_depth': 128, 'max_features': 0.7215790890982341, 'overlap': 0.7577362996424203, 'max_lag': 13} 0.7517298446534473
2026-03-29 01:00:21.894741 1 {'chunk_seconds': 18, 'num_freqs': 11, 'num_estimators': 8, 'max_depth': 128, 'max_features': 0.9890569821535482, 'overlap': 0.3863132988670125, 'max_lag': 18} 0.7455761877251781
2026-03-29 01:11:34.933147 2 {'chunk_seconds': 22, 'num_freqs': 11, 'num_estimators': 16, 'max_depth': 32, 'max_features': 0.6866629328616405, 'overlap': 0.2925760972452322, 'max_lag': 15} 0.7579971592753123
2026-03-29 01:21:15.303771 3 {'chunk_seconds': 17, 'num_freqs': 1, 'num_estimators': 64, 'max_depth': 64, 'max_features': 0.40171525969201244, 'overlap': 0.35622064780920276, 'max_lag': 21} 0.7618699173391018
2026-03-29 01:34:23.409292 4 {'chunk_seconds': 24, 'num_freqs': 10, 'num_estimators': 32, 'max_depth': 32, 'max_features': 0.33946337432015916, 'overlap': 0.47217368973702545, 'max_lag': 29} 0.7757363507979622
2026-03-29 01:47:15.269844 5 {'chunk_seconds': 13, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 256, 'max_features': 0.23914356251972643, 'overlap': 0.7915283530880863, 'max_lag': 10} 0.7714119594073188
2026-03-29 02:22:10.952717 6 {'chunk_seconds': 16, 'num_freqs': 21, 'num_estimators': 128, 'max_depth': 64, 'max_features': 0.4663859153442266, 'overlap': 0.3422768957246397, 'max_lag': 25} 0.7657894896065464
2026-03-29 02:48:08.387309 7 {'chunk_seconds': 24, 'num_freqs': 12, 'num_estimators': 512, 'max_depth': 64, 'max_features': 0.5328613096592673, 'overlap': 0.7790875150823595, 'max_lag': 10} 0.7686043730572226
2026-03-29 04:23:03.663843 8 {'chunk_seconds': 13, 'num_freqs': 8, 'num_estimators': 8, 'max_depth': 32, 'max_features': 0.21292564265829306, 'overlap': 0.6755205096302725, 'max_lag': 16} 0.7589707519659689
2026-03-29 04:39:27.673602 9 {'chunk_seconds': 21, 'num_freqs': 25, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.9393945266358321, 'overlap': 0.31840004972146174, 'max_lag': 27} 0.766404127487092
2026-03-29 05:38:11.584278 11 {'chunk_seconds': 10, 'num_freqs': 4, 'num_estimators': 32, 'max_depth': 256, 'max_features': 0.20327173783913405, 'overlap': 0.5534644732025449, 'max_lag': 8} 0.7603126672195304
2026-03-29 08:31:23.269950 20 {'chunk_seconds': 19, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.2752894537781573, 'overlap': 0.711817368744707, 'max_lag': 18} 0.7774974390273931
2026-03-29 08:57:00.826696 21 {'chunk_seconds': 23, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.23763165437413797, 'overlap': 0.7187047961963875, 'max_lag': 18} 0.7774068614195693
2026-03-29 09:34:22.473705 23 {'chunk_seconds': 19, 'num_freqs': 14, 'num_estimators': 32, 'max_depth': 32, 'max_features': 0.27595093791129033, 'overlap': 0.7135236163341564, 'max_lag': 26} 0.7770473995177045
2026-03-29 09:55:02.984989 24 {'chunk_seconds': 19, 'num_freqs': 15, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.27012383082004277, 'overlap': 0.715857231754282, 'max_lag': 25} 0.7806868661009101
2026-03-29 10:26:41.351783 25 {'chunk_seconds': 21, 'num_freqs': 18, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.20171372985864197, 'overlap': 0.8368280182315905, 'max_lag': 23} 0.7793294601357671
2026-03-29 11:45:38.210218 27 {'chunk_seconds': 20, 'num_freqs': 18, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.2040219136427902, 'overlap': 0.8449764061705988, 'max_lag': 23} 0.78027040286496
2026-03-29 16:25:30.033163 41 {'chunk_seconds': 23, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.26109263938974, 'overlap': 0.7092966379551398, 'max_lag': 16} 0.7781468259600777
2026-03-29 17:15:33.717576 44 {'chunk_seconds': 24, 'num_freqs': 12, 'num_estimators': 1024, 'max_depth': 32, 'max_features': 0.24358671837840873, 'overlap': 0.5824759882844492, 'max_lag': 16} 0.78243092533598
2026-03-29 18:07:45.750945 45 {'chunk_seconds': 25, 'num_freqs': 13, 'num_estimators': 1024, 'max_depth': 128, 'max_features': 0.2379763117353659, 'overlap': 0.5844775484482816, 'max_lag': 12} 0.7799496384827634
2026-03-29 18:54:10.414741 46 {'chunk_seconds': 25, 'num_freqs': 14, 'num_estimators': 1024, 'max_depth': 128, 'max_features': 0.20135244406742392, 'overlap': 0.578044094036962, 'max_lag': 11} 0.7822864611829111
2026-03-29 21:18:26.880450 51 {'chunk_seconds': 22, 'num_freqs': 17, 'num_estimators': 1024, 'max_depth': 128, 'max_features': 0.20419334287353752, 'overlap': 0.516039619026533, 'max_lag': 9} 0.782835590673279
2026-03-29 21:59:51.066345 52 {'chunk_seconds': 24, 'num_freqs': 17, 'num_estimators': 1024, 'max_depth': 128, 'max_features': 0.2265566454779465, 'overlap': 0.4964408982040068, 'max_lag': 8} 0.7827871499231963
2026-03-29 22:38:59.843423 53 {'chunk_seconds': 22, 'num_freqs': 17, 'num_estimators': 1024, 'max_depth': 128, 'max_features': 0.2273567643317616, 'overlap': 0.49869171133596796, 'max_lag': 8} 0.7809584173977897
2026-03-29 23:21:23.556682 54 {'chunk_seconds': 24, 'num_freqs': 17, 'num_estimators': 1024, 'max_depth': 128, 'max_features': 0.2363896923295947, 'overlap': 0.5025313437941331, 'max_lag': 6} 0.7812910444697135
2026-03-30 14:23:08.626108 63 {'chunk_seconds': 22, 'num_freqs': 19, 'num_estimators': 1024, 'max_depth': 128, 'max_features': 0.25407442734661767, 'overlap': 0.5656063052511011, 'max_lag': 10} 0.7812085172625258
