2026-02-22 01:09:17.094581 0 {'chunk_seconds': 5, 'num_freqs': 18, 'num_estimators': 256, 'max_depth': 128, 'max_features': 0.9964144622956544, 'overlap': 0.38120838286361985, 'max_lag': 8} 0.6827711387920637
2026-02-22 04:17:42.232773 1 {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 64, 'max_depth': 256, 'max_features': 0.6087205135027849, 'overlap': 0.7519647564463701, 'max_lag': 4} 0.6440100937837269
2026-02-22 05:42:05.324039 2 {'chunk_seconds': 8, 'num_freqs': 3, 'num_estimators': 8, 'max_depth': 256, 'max_features': 0.8080718404570393, 'overlap': 0.7624715679805554, 'max_lag': 5} 0.6577084097502383
2026-02-22 06:01:30.254890 3 {'chunk_seconds': 3, 'num_freqs': 15, 'num_estimators': 128, 'max_depth': 8, 'max_features': 0.6318040457115501, 'overlap': 0.4358623711770709, 'max_lag': 7} 0.5974589859005517
2026-02-22 06:59:19.835167 4 {'chunk_seconds': 8, 'num_freqs': 15, 'num_estimators': 32, 'max_depth': 128, 'max_features': 0.5599195844776478, 'overlap': 0.5534624890957129, 'max_lag': 8} 0.7055619818969895
2026-02-22 07:20:40.206096 5 {'chunk_seconds': 2, 'num_freqs': 17, 'num_estimators': 64, 'max_depth': 8, 'max_features': 0.7326888442597435, 'overlap': 0.551410736691804, 'max_lag': 10} 0.588289979520916
2026-02-22 08:43:57.941065 6 {'chunk_seconds': 5, 'num_freqs': 13, 'num_estimators': 8, 'max_depth': 32, 'max_features': 0.8767855783512377, 'overlap': 0.3227300875259926, 'max_lag': 5} 0.6521964991100607
2026-02-22 08:57:29.732124 7 {'chunk_seconds': 4, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.9256751503951912, 'overlap': 0.6059721640744575, 'max_lag': 7} 0.6629386532086395
2026-02-22 10:34:28.300084 8 {'chunk_seconds': 6, 'num_freqs': 20, 'num_estimators': 16, 'max_depth': 4, 'max_features': 0.5426771469370346, 'overlap': 0.7993074467277125, 'max_lag': 10} 0.4996105689361872
2026-02-22 11:05:02.491697 9 {'chunk_seconds': 4, 'num_freqs': 15, 'num_estimators': 64, 'max_depth': 4, 'max_features': 0.9924456128561417, 'overlap': 0.4207071568685159, 'max_lag': 7} 0.4865059784948304
2026-02-22 11:31:00.444364 10 {'chunk_seconds': 10, 'num_freqs': 10, 'num_estimators': 32, 'max_depth': 128, 'max_features': 0.5034975567322804, 'overlap': 0.6127441182913548, 'max_lag': 9} 0.70191742463092
2026-02-22 11:49:21.650549 11 {'chunk_seconds': 10, 'num_freqs': 9, 'num_estimators': 32, 'max_depth': 128, 'max_features': 0.5032742716062752, 'overlap': 0.6391246782292119, 'max_lag': 9} 0.7114387307470846
