2026-04-10 13:14:00.069665 0 {'chunk_seconds': 14, 'num_freqs': 17, 'num_estimators': 32, 'max_depth': 128, 'max_features': 0.8753656564658732, 'overlap': 0.2714934729233427, 'max_lag': 16} 0.7058051299096382
2026-04-10 13:29:03.127691 1 {'chunk_seconds': 7, 'num_freqs': 4, 'num_estimators': 16, 'max_depth': 32, 'max_features': 0.726799207138475, 'overlap': 0.3313492763718388, 'max_lag': 19} 0.6872747905230883
2026-04-10 13:45:28.415856 2 {'chunk_seconds': 16, 'num_freqs': 6, 'num_estimators': 16, 'max_depth': 64, 'max_features': 0.5807928556973894, 'overlap': 0.4056327036923705, 'max_lag': 8} 0.6965100250651418
2026-04-10 13:54:46.764905 3 {'chunk_seconds': 4, 'num_freqs': 14, 'num_estimators': 32, 'max_depth': 64, 'max_features': 0.6452252494000843, 'overlap': 0.48117402645588525, 'max_lag': 11} 0.6777286082977089
2026-04-10 14:31:45.502671 4 {'chunk_seconds': 5, 'num_freqs': 8, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.987806941028591, 'overlap': 0.3914142723094882, 'max_lag': 7} 0.6989703929794513
2026-04-10 15:06:29.399659 5 {'chunk_seconds': 13, 'num_freqs': 2, 'num_estimators': 64, 'max_depth': 256, 'max_features': 0.5531320483629154, 'overlap': 0.6115291837131513, 'max_lag': 4} 0.6884891716944478
2026-04-10 15:21:36.035869 6 {'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 16, 'max_depth': 32, 'max_features': 0.6916947098126278, 'overlap': 0.7233629792575944, 'max_lag': 15} 0.60966685837648
2026-04-10 18:36:16.340893 7 {'chunk_seconds': 1, 'num_freqs': 15, 'num_estimators': 16, 'max_depth': 256, 'max_features': 0.5340788908575947, 'overlap': 0.5775034576264471, 'max_lag': 3} 0.6039083972575698
2026-04-10 19:52:14.590008 8 {'chunk_seconds': 19, 'num_freqs': 15, 'num_estimators': 64, 'max_depth': 8, 'max_features': 0.7208556987791599, 'overlap': 0.443560808259565, 'max_lag': 11} 0.6552904790423825
2026-04-10 20:04:44.566213 9 {'chunk_seconds': 16, 'num_freqs': 3, 'num_estimators': 64, 'max_depth': 4, 'max_features': 0.5544981266078384, 'overlap': 0.6218097157178697, 'max_lag': 3} 0.5546436832859429
2026-04-10 20:14:58.594019 10 {'chunk_seconds': 11, 'num_freqs': 20, 'num_estimators': 32, 'max_depth': 128, 'max_features': 0.9283613097453522, 'overlap': 0.25084225552167766, 'max_lag': 20} 0.7103128676458675
2026-04-10 20:52:42.406816 13 {'chunk_seconds': 14, 'num_freqs': 17, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.3723139564726109, 'overlap': 0.3498971386710866, 'max_lag': 16} 0.7213799512012721
2026-04-10 21:13:33.698594 14 {'chunk_seconds': 19, 'num_freqs': 12, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.3279849182133293, 'overlap': 0.3499562025814182, 'max_lag': 18} 0.721621627547028
2026-04-10 21:28:25.496398 15 {'chunk_seconds': 20, 'num_freqs': 12, 'num_estimators': 128, 'max_depth': 128, 'max_features': 0.327872663804605, 'overlap': 0.3559298290031955, 'max_lag': 14} 0.7181244490390378
2026-04-10 22:02:56.215132 18 {'chunk_seconds': 14, 'num_freqs': 11, 'num_estimators': 256, 'max_depth': 128, 'max_features': 0.4375535183816375, 'overlap': 0.34630897736120014, 'max_lag': 17} 0.7223007820242487
2026-04-10 22:34:29.411697 19 {'chunk_seconds': 20, 'num_freqs': 11, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.44632825513524665, 'overlap': 0.5427734517987214, 'max_lag': 18} 0.7425836442773721
2026-04-10 23:04:47.915437 20 {'chunk_seconds': 8, 'num_freqs': 9, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.4557597025771336, 'overlap': 0.5517558644543921, 'max_lag': 13} 0.7282150860014108
2026-04-11 00:03:20.306585 21 {'chunk_seconds': 8, 'num_freqs': 9, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.4654093555929625, 'overlap': 0.551253029539062, 'max_lag': 13} 0.7319560104519377
2026-04-11 01:02:11.381833 22 {'chunk_seconds': 8, 'num_freqs': 8, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.4634861780635381, 'overlap': 0.5503687458638855, 'max_lag': 9} 0.7282025765026974
