2026-04-21 08:49:57.173981 0 {'chunk_seconds': 20, 'num_freqs': 12, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.2944676755819046, 'overlap': 0.2698054792265272, 'max_lag': 24} 0.712874379584353
2026-04-21 09:00:57.553761 1 {'chunk_seconds': 7, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.5658544898191604, 'overlap': 0.379131289516353, 'max_lag': 15} 0.672828560158107
2026-04-21 09:15:03.545480 2 {'chunk_seconds': 17, 'num_freqs': 2, 'num_estimators': 256, 'max_depth': 128, 'max_features': 0.245063566278548, 'overlap': 0.3074038099704535, 'max_lag': 4} 0.6760057803570808
2026-04-21 09:23:23.566769 3 {'chunk_seconds': 4, 'num_freqs': 19, 'num_estimators': 8, 'max_depth': 32, 'max_features': 0.395429907792796, 'overlap': 0.4889495165732112, 'max_lag': 22} 0.6454107982017159
2026-04-21 09:44:42.515716 4 {'chunk_seconds': 5, 'num_freqs': 19, 'num_estimators': 8, 'max_depth': 64, 'max_features': 0.47948826076505835, 'overlap': 0.3919598607387995, 'max_lag': 6} 0.6287317661442952
2026-04-21 09:54:40.385590 5 {'chunk_seconds': 23, 'num_freqs': 1, 'num_estimators': 16, 'max_depth': 16, 'max_features': 0.5635274669094847, 'overlap': 0.5441563795114677, 'max_lag': 27} 0.6684805935698578
2026-04-21 10:05:42.993975 6 {'chunk_seconds': 11, 'num_freqs': 8, 'num_estimators': 8, 'max_depth': 32, 'max_features': 0.9012775487495821, 'overlap': 0.8016416395950651, 'max_lag': 12} 0.6471004843665144
2026-04-21 10:24:43.529064 7 {'chunk_seconds': 5, 'num_freqs': 15, 'num_estimators': 8, 'max_depth': 4, 'max_features': 0.7598028790782154, 'overlap': 0.5410799343211048, 'max_lag': 14} 0.4952581567037181
2026-04-21 10:39:24.912601 8 {'chunk_seconds': 24, 'num_freqs': 15, 'num_estimators': 64, 'max_depth': 32, 'max_features': 0.6087793114679678, 'overlap': 0.7449592358875483, 'max_lag': 21} 0.6754944588491163
2026-04-21 11:00:48.625436 9 {'chunk_seconds': 23, 'num_freqs': 25, 'num_estimators': 512, 'max_depth': 128, 'max_features': 0.4628953723734925, 'overlap': 0.5894519774597895, 'max_lag': 11} 0.6890531204843174
2026-04-21 11:36:48.927874 10 {'chunk_seconds': 17, 'num_freqs': 8, 'num_estimators': 128, 'max_depth': 8, 'max_features': 0.20526095560190694, 'overlap': 0.2589119855181205, 'max_lag': 30} 0.637712127807987
2026-04-21 11:47:22.976732 11 {'chunk_seconds': 19, 'num_freqs': 25, 'num_estimators': 512, 'max_depth': 256, 'max_features': 0.34999826804482387, 'overlap': 0.6670512230974149, 'max_lag': 9} 0.6913459172048722
2026-04-21 12:25:52.414904 12 {'chunk_seconds': 17, 'num_freqs': 25, 'num_estimators': 512, 'max_depth': 256, 'max_features': 0.32264342338307667, 'overlap': 0.6808230750347352, 'max_lag': 21} 0.6978656749731692
2026-04-21 13:24:28.205971 13 {'chunk_seconds': 13, 'num_freqs': 12, 'num_estimators': 128, 'max_depth': 256, 'max_features': 0.3074442574393788, 'overlap': 0.6773871007504018, 'max_lag': 19} 0.6849343411995709
2026-04-21 17:01:35.875297 15 {'chunk_seconds': 15, 'num_freqs': 12, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.4188538667447829, 'overlap': 0.45193917510306897, 'max_lag': 24} 0.7138631448702908
2026-04-21 17:19:08.108091 16 {'chunk_seconds': 13, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.4536979209468007, 'overlap': 0.41251242524618276, 'max_lag': 25} 0.7139508479514374
2026-04-21 17:38:16.697484 17 {'chunk_seconds': 12, 'num_freqs': 6, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.44701601169141975, 'overlap': 0.4395238237569776, 'max_lag': 30} 0.7029496232113024
2026-04-21 20:39:33.985302 21 {'chunk_seconds': 15, 'num_freqs': 12, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.4094456414340813, 'overlap': 0.2533933868258708, 'max_lag': 24} 0.708202727933531
2026-04-21 20:59:18.704939 23 {'chunk_seconds': 21, 'num_freqs': 16, 'num_estimators': 128, 'max_depth': 16, 'max_features': 0.2686432307386486, 'overlap': 0.30486999177549606, 'max_lag': 24} 0.7153450951302327
2026-04-21 21:16:50.986644 25 {'chunk_seconds': 16, 'num_freqs': 19, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.25378551809424915, 'overlap': 0.4063165867795747, 'max_lag': 25} 0.7237467334626915
2026-04-21 22:02:11.088774 26 {'chunk_seconds': 22, 'num_freqs': 18, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.20411085085594277, 'overlap': 0.3165538235677206, 'max_lag': 28} 0.7215015633877736
2026-04-21 22:30:00.294828 27 {'chunk_seconds': 22, 'num_freqs': 18, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.2125015578342106, 'overlap': 0.3066899785771171, 'max_lag': 28} 0.7192923913246871
2026-04-21 22:57:12.312223 28 {'chunk_seconds': 25, 'num_freqs': 18, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.23182920799047718, 'overlap': 0.3512838397238442, 'max_lag': 28} 0.7218776149682044
2026-04-21 23:25:18.370132 29 {'chunk_seconds': 25, 'num_freqs': 22, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.28246081033200315, 'overlap': 0.3589001234949112, 'max_lag': 30} 0.7179976636579276
2026-04-22 00:10:14.525701 31 {'chunk_seconds': 22, 'num_freqs': 18, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.21027661910697504, 'overlap': 0.3330760109202564, 'max_lag': 28} 0.7211904274830954
2026-04-22 00:38:47.986246 32 {'chunk_seconds': 21, 'num_freqs': 17, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.2152291334874, 'overlap': 0.3848655704468982, 'max_lag': 28} 0.7232825873523221
2026-04-22 01:10:33.232140 33 {'chunk_seconds': 19, 'num_freqs': 17, 'num_estimators': 1024, 'max_depth': 128, 'max_features': 0.25128903822421245, 'overlap': 0.3842990788285119, 'max_lag': 30} 0.6997846038946349
2026-04-22 01:55:54.219567 34 {'chunk_seconds': 21, 'num_freqs': 20, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.2632382744665481, 'overlap': 0.5048770106105408, 'max_lag': 26} 0.7244303572244247
2026-04-22 02:40:44.433627 35 {'chunk_seconds': 18, 'num_freqs': 20, 'num_estimators': 1024, 'max_depth': 64, 'max_features': 0.34814592996257965, 'overlap': 0.4969256248643191, 'max_lag': 22} 0.6953196528326742
2026-04-22 03:46:03.502904 36 {'chunk_seconds': 21, 'num_freqs': 23, 'num_estimators': 16, 'max_depth': 16, 'max_features': 0.2660103169064215, 'overlap': 0.5223739080581239, 'max_lag': 26} 0.7082435443926091
2026-04-22 04:34:21.468384 41 {'chunk_seconds': 22, 'num_freqs': 17, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.23578506195702276, 'overlap': 0.3431723138337619, 'max_lag': 29} 0.7193124380113056
2026-04-22 05:10:13.555211 43 {'chunk_seconds': 21, 'num_freqs': 18, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.29539896812648986, 'overlap': 0.38792387724218513, 'max_lag': 27} 0.7152405247084124
2026-04-22 06:23:52.693463 49 {'chunk_seconds': 22, 'num_freqs': 16, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.259857671994833, 'overlap': 0.3831592448268347, 'max_lag': 29} 0.7211571971817897
2026-04-22 07:13:16.896273 51 {'chunk_seconds': 22, 'num_freqs': 18, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.23365676190973717, 'overlap': 0.3194970982636829, 'max_lag': 28} 0.7203415930600376
2026-04-22 07:43:11.478152 52 {'chunk_seconds': 24, 'num_freqs': 19, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.20193551126213444, 'overlap': 0.34293743762898393, 'max_lag': 26} 0.7185304316078316
2026-04-22 08:23:17.661387 54 {'chunk_seconds': 23, 'num_freqs': 15, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.2305290626900136, 'overlap': 0.45630506469929005, 'max_lag': 26} 0.7186045793767287
2026-04-22 09:19:33.150646 58 {'chunk_seconds': 16, 'num_freqs': 22, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.27486812477126155, 'overlap': 0.40124805493366456, 'max_lag': 30} 0.7225929515040114
2026-04-22 10:13:58.535114 59 {'chunk_seconds': 15, 'num_freqs': 24, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.27743756645899603, 'overlap': 0.4322205358170088, 'max_lag': 30} 0.729804489939417
2026-04-22 11:44:13.351555 61 {'chunk_seconds': 16, 'num_freqs': 24, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.2799087684473372, 'overlap': 0.4202434433396307, 'max_lag': 29} 0.725930115018886
2026-04-22 12:41:56.014466 62 {'chunk_seconds': 16, 'num_freqs': 24, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.2818424504593189, 'overlap': 0.4255297452521333, 'max_lag': 29} 0.7238420799615345
2026-04-22 13:40:36.154958 63 {'chunk_seconds': 16, 'num_freqs': 25, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.2741165893985864, 'overlap': 0.4263419734348076, 'max_lag': 30} 0.7245856661505788
2026-04-22 15:53:23.510423 67 {'chunk_seconds': 12, 'num_freqs': 25, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.2904806940317151, 'overlap': 0.45301289097070385, 'max_lag': 27} 0.7242917244734721
2026-04-22 17:37:42.190330 69 {'chunk_seconds': 16, 'num_freqs': 25, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.47135098923787244, 'overlap': 0.5639428280367564, 'max_lag': 20} 0.7178127371631771
2026-04-22 19:29:50.697624 71 {'chunk_seconds': 15, 'num_freqs': 25, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.2592227492110669, 'overlap': 0.4180176145311725, 'max_lag': 28} 0.7239107330107774
2026-04-22 20:27:18.989402 72 {'chunk_seconds': 15, 'num_freqs': 25, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.26002414263199175, 'overlap': 0.42319330151038326, 'max_lag': 27} 0.7264349841718382
2026-04-22 21:21:20.212908 73 {'chunk_seconds': 13, 'num_freqs': 25, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.33169247498859167, 'overlap': 0.4763259743122548, 'max_lag': 27} 0.723537879719073
2026-04-22 22:48:04.419488 74 {'chunk_seconds': 15, 'num_freqs': 24, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.27419226842097516, 'overlap': 0.4231318138620006, 'max_lag': 29} 0.7268790025853566
2026-04-22 23:50:32.813126 76 {'chunk_seconds': 14, 'num_freqs': 25, 'num_estimators': 256, 'max_depth': 16, 'max_features': 0.35366012791828827, 'overlap': 0.48553609913180795, 'max_lag': 26} 0.7229543152771706
2026-04-23 00:20:03.939371 77 {'chunk_seconds': 11, 'num_freqs': 23, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.3061192958213439, 'overlap': 0.4167441362722814, 'max_lag': 28} 0.7271218615960922
2026-04-23 04:13:26.598531 81 {'chunk_seconds': 13, 'num_freqs': 25, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.2548858284739833, 'overlap': 0.4105237488971321, 'max_lag': 28} 0.7277003842495438
2026-04-23 05:15:22.762739 82 {'chunk_seconds': 13, 'num_freqs': 23, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.2967933544928986, 'overlap': 0.4019319105000024, 'max_lag': 30} 0.7296381083738511
2026-04-23 06:28:11.985641 83 {'chunk_seconds': 13, 'num_freqs': 23, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.2328782619671367, 'overlap': 0.4090455265537198, 'max_lag': 30} 0.7244014189283701
2026-04-23 07:27:42.615872 84 {'chunk_seconds': 13, 'num_freqs': 21, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.3402576032866355, 'overlap': 0.395039052815637, 'max_lag': 30} 0.7258563036038612
2026-04-23 11:15:47.674585 90 {'chunk_seconds': 13, 'num_freqs': 23, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.2501133258759692, 'overlap': 0.7166106102086752, 'max_lag': 30} 0.7278231981861262
2026-04-23 13:27:23.058531 91 {'chunk_seconds': 13, 'num_freqs': 23, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.22495130008407258, 'overlap': 0.782288592841967, 'max_lag': 30} 0.7266384487317857
2026-04-23 15:56:38.552618 92 {'chunk_seconds': 13, 'num_freqs': 22, 'num_estimators': 1024, 'max_depth': 16, 'max_features': 0.22339678049676964, 'overlap': 0.7433919024254871, 'max_lag': 30} 0.7297868926590797
